Xiangshi Log: 2020-11-23 20:38:09,995 - INFO: Starting up Xiangshi
Xiangshi Log - 11/23/20, 20:38:09 - INFO Starting up Xiangshi
Xiangshi Log: 2020-11-23 20:40:45,003 - INFO: Starting up Xiangshi
Xiangshi Log - 11/23/20, 20:40:45 - INFO Starting up Xiangshi
Xiangshi Log: 2020-11-23 20:40:45,003 - INFO: Starting up Xiangshi
Xiangshi Log - 11/23/20, 20:40:45 - INFO Starting up Xiangshi
Xiangshi Log: 2020-11-23 20:40:45,010 - INFO: Starting up Xiangshi
Xiangshi Log - 11/23/20, 20:40:45 - INFO Starting up Xiangshi
Xiangshi Log: 2020-11-23 20:40:45,010 - INFO: Starting up Xiangshi
Xiangshi Log - 11/23/20, 20:40:45 - INFO Starting up Xiangshi
